Date,Number  of  Flights
2017-08-13  10:21:52,1215
2017-08-13  10:26:52,1217
2017-08-13  10:31:52,1221
2017-08-13  10:36:52,1223
2017-08-13  10:41:52,1227
2017-08-13  10:46:52,1228
2017-08-13  10:51:52,1229
2017-08-13  10:56:52,1233
2017-08-13  11:01:52,1232
2017-08-13  11:06:52,1233
2017-08-13  11:11:52,1234
2017-08-13  11:16:52,1240
2017-08-13  11:21:52,1241
2017-08-13  11:26:52,1243
2017-08-13  11:31:52,1243
2017-08-13  11:36:53,1246
2017-08-13  11:41:53,1251
2017-08-13  11:46:53,1252
2017-08-13  11:51:53,1251
2017-08-13  11:56:53,1250
2017-08-13  12:01:53,1254
2017-08-13  12:06:53,1259
2017-08-13  12:11:53,1262
2017-08-13  12:16:53,1265
2017-08-13  12:21:53,1265
2017-08-13  12:26:53,1267
2017-08-13  12:31:53,1268
2017-08-13  12:36:53,1268
2017-08-13  12:41:53,1272
2017-08-13  12:46:53,1274
2017-08-13  12:51:53,1279
2017-08-13  12:56:54,1282
2017-08-13  13:01:54,1282
2017-08-13  13:06:54,1284
2017-08-13  13:11:54,1285
2017-08-13  13:16:54,1289
2017-08-13  13:21:54,1288
2017-08-13  13:26:54,1289
2017-08-13  13:31:54,1290
2017-08-13  13:36:54,1296
2017-08-13  13:41:54,1297
2017-08-13  13:46:54,1298
2017-08-13  13:51:54,1299
2017-08-13  13:56:54,1302
2017-08-13  14:01:54,1305
2017-08-13  14:06:54,1306
2017-08-13  14:11:54,1305
2017-08-13  14:16:55,1305
2017-08-13  14:21:55,1311
2017-08-13  14:26:55,1314
2017-08-13  14:31:55,1316
2017-08-13  14:36:55,1315
2017-08-13  14:41:55,1319
2017-08-13  14:46:55,1321
2017-08-13  14:51:55,1323
2017-08-13  14:56:55,1322
2017-08-13  15:01:55,1322
2017-08-13  15:06:55,1325
2017-08-13  15:11:55,1331
2017-08-13  15:16:55,1330
2017-08-13  15:21:55,1333
2017-08-13  15:26:55,1335
2017-08-13  15:31:55,1336
2017-08-13  15:36:56,1340
2017-08-13  15:41:56,1339
2017-08-13  15:46:56,1340
2017-08-13  15:51:56,1341
2017-08-13  15:56:56,1348
2017-08-13  16:01:56,1349
2017-08-13  16:06:56,1351
2017-08-13  16:11:56,1353
2017-08-13  16:16:56,1354
2017-08-13  16:21:56,1358
2017-08-13  16:26:56,1359
2017-08-13  16:31:56,1357
2017-08-13  16:36:56,1359
2017-08-13  16:41:56,1366
2017-08-13  16:46:56,1370
2017-08-13  16:51:56,1373
2017-08-13  16:56:57,1371
2017-08-13  17:01:57,1372
2017-08-13  17:06:57,1376
2017-08-13  17:11:57,1376
2017-08-13  17:16:57,1377
2017-08-13  17:21:57,1379
2017-08-13  17:26:57,1385
2017-08-13  17:31:57,1385
2017-08-13  17:36:57,1388
2017-08-13  17:41:57,1392
2017-08-13  17:46:57,1396
2017-08-13  17:51:57,1397
2017-08-13  17:56:57,1397
2017-08-13  18:01:57,1397
2017-08-13  18:06:57,1399
2017-08-13  18:11:57,1406
2017-08-13  18:16:58,1410
2017-08-13  18:21:58,1409
2017-08-13  18:26:58,1414
2017-08-13  18:31:58,1412
2017-08-13  18:36:58,1416
2017-08-13  18:41:58,1416
2017-08-13  18:46:58,1416
2017-08-13  18:51:58,1414
2017-08-13  18:56:58,1415
2017-08-13  19:01:58,1421
2017-08-13  19:06:58,1420
2017-08-13  19:11:58,1427
2017-08-13  19:16:58,1424
2017-08-13  19:21:58,1429
2017-08-13  19:26:58,1428
2017-08-13  19:31:59,1428
2017-08-13  19:36:59,1429
2017-08-13  19:41:59,1434
2017-08-13  19:46:59,1439
2017-08-13  19:51:59,1440
2017-08-13  19:56:59,1445
2017-08-13  20:01:59,1441
2017-08-13  20:06:59,1444
2017-08-13  20:11:59,1447
2017-08-13  20:16:59,1448
