Timestamp,MTCD_CREATION_UPDATE_EVENT,MTCD_DELETE_EVENT
2017-08-11  22:23:49.176,0,0
2017-08-11  22:24:19.176,0,0
2017-08-11  22:24:49.176,0,0
2017-08-11  22:25:19.176,0,0
2017-08-11  22:25:49.176,0,0
2017-08-11  22:26:19.212,0,0
2017-08-11  22:26:49.177,0,0
2017-08-11  22:27:19.177,0,0
2017-08-11  22:27:49.214,0,0
2017-08-11  22:28:19.213,45,6
2017-08-11  22:28:49.178,0,0
2017-08-11  22:29:19.178,0,0
2017-08-11  22:29:49.178,0,0
2017-08-11  22:30:19.179,0,0
2017-08-11  22:30:49.179,0,0
2017-08-11  22:31:19.213,0,0
2017-08-11  22:31:49.179,0,0
2017-08-11  22:32:19.179,0,0
2017-08-11  22:32:49.179,0,0
2017-08-11  22:33:19.215,91,16
2017-08-11  22:33:49.179,0,0
2017-08-11  22:34:19.180,0,0
2017-08-11  22:34:49.181,0,0
2017-08-11  22:35:19.180,0,0
2017-08-11  22:35:49.214,0,0
2017-08-11  22:36:19.181,0,0
2017-08-11  22:36:49.181,0,0
2017-08-11  22:37:19.182,0,0
2017-08-11  22:37:49.181,0,0
2017-08-11  22:38:19.182,64,16
2017-08-11  22:38:49.216,0,0
2017-08-11  22:39:19.182,0,0
2017-08-11  22:39:49.182,0,0
2017-08-11  22:40:19.183,0,0
2017-08-11  22:40:49.182,0,0
2017-08-11  22:41:19.183,0,0
2017-08-11  22:41:49.183,0,0
2017-08-11  22:42:19.183,0,0
2017-08-11  22:42:49.183,0,0
2017-08-11  22:43:19.184,73,9
2017-08-11  22:43:49.184,0,0
2017-08-11  22:44:19.183,0,0
2017-08-11  22:44:49.184,0,0
2017-08-11  22:45:19.219,0,0
2017-08-11  22:45:49.184,0,0
2017-08-11  22:46:19.218,0,0
2017-08-11  22:46:49.184,0,0
2017-08-11  22:47:19.217,0,0
2017-08-11  22:47:49.220,0,0
2017-08-11  22:48:19.185,122,25
2017-08-11  22:48:49.186,0,0
2017-08-11  22:49:19.220,0,0
2017-08-11  22:49:49.222,0,0
2017-08-11  22:50:19.186,0,0
2017-08-11  22:50:49.186,0,0
2017-08-11  22:51:19.186,0,0
2017-08-11  22:51:49.187,0,0
2017-08-11  22:52:19.187,0,0
2017-08-11  22:52:49.222,0,0
2017-08-11  22:53:19.223,33,9
2017-08-11  22:53:49.187,0,0
2017-08-11  22:54:19.222,0,0
2017-08-11  22:54:49.224,0,0
2017-08-11  22:55:19.188,0,0
2017-08-11  22:55:49.188,0,0
2017-08-11  22:56:19.189,0,0
2017-08-11  22:56:49.189,0,0
2017-08-11  22:57:19.189,0,0
2017-08-11  22:57:49.189,0,0
2017-08-11  22:58:19.189,31,7
2017-08-11  22:58:49.189,0,0
2017-08-11  22:59:19.190,0,0
2017-08-11  22:59:49.189,0,0
2017-08-11  23:00:19.190,0,0
2017-08-11  23:00:49.190,0,0
2017-08-11  23:01:19.190,0,0
2017-08-11  23:01:49.224,0,0
2017-08-11  23:02:19.224,0,0
2017-08-11  23:02:49.224,0,0
2017-08-11  23:03:19.191,27,4
2017-08-11  23:03:49.190,0,0
2017-08-11  23:04:19.191,0,0
2017-08-11  23:04:49.190,0,0
2017-08-11  23:05:19.191,0,0
2017-08-11  23:05:49.228,0,0
2017-08-11  23:06:19.192,0,0
2017-08-11  23:06:49.227,0,0
2017-08-11  23:07:19.193,0,0
2017-08-11  23:07:49.192,0,0
2017-08-11  23:08:19.193,50,8
2017-08-11  23:08:49.229,0,0
2017-08-11  23:09:19.193,0,0
2017-08-11  23:09:49.193,0,0
2017-08-11  23:10:19.193,0,0
2017-08-11  23:10:49.223,0,0
2017-08-11  23:11:19.194,0,0
2017-08-11  23:11:49.194,0,0
2017-08-11  23:12:19.226,0,0
2017-08-11  23:12:49.193,0,0
2017-08-11  23:13:19.194,29,5
2017-08-11  23:13:49.194,0,0
2017-08-11  23:14:19.195,0,0
2017-08-11  23:14:49.195,0,0
2017-08-11  23:15:19.196,0,0
2017-08-11  23:15:49.196,0,0
2017-08-11  23:16:19.196,0,0
2017-08-11  23:16:49.232,0,0
2017-08-11  23:17:19.197,0,0
2017-08-11  23:17:49.231,0,0
2017-08-11  23:18:19.231,79,17
2017-08-11  23:18:49.197,0,0
2017-08-11  23:19:19.197,0,0
2017-08-11  23:19:49.197,0,0
2017-08-11  23:20:19.197,0,0
2017-08-11  23:20:49.198,0,0
2017-08-11  23:21:19.199,0,0
2017-08-11  23:21:49.198,0,0
2017-08-11  23:22:19.198,0,0
2017-08-11  23:22:49.198,0,0
2017-08-11  23:23:19.199,125,25
2017-08-11  23:23:49.198,0,0
2017-08-11  23:24:19.199,0,0
2017-08-11  23:24:49.199,0,0
2017-08-11  23:25:19.199,0,0
2017-08-11  23:25:49.199,0,0
2017-08-11  23:26:19.200,0,0
2017-08-11  23:26:49.200,0,0
2017-08-11  23:27:19.200,0,0
2017-08-11  23:27:49.201,0,0
2017-08-11  23:28:19.201,33,10
2017-08-11  23:28:49.201,0,0
2017-08-11  23:29:19.201,0,0
2017-08-11  23:29:49.201,0,0
2017-08-11  23:30:19.202,0,0
2017-08-11  23:30:49.202,0,0
2017-08-11  23:31:19.202,0,0
2017-08-11  23:31:49.237,0,0
2017-08-11  23:32:19.202,0,0
2017-08-11  23:32:49.202,0,0
2017-08-11  23:33:19.203,78,18
2017-08-11  23:33:49.203,0,0
2017-08-11  23:34:19.203,0,0
2017-08-11  23:34:49.204,0,0
2017-08-11  23:35:19.204,0,0
2017-08-11  23:35:49.204,0,0
2017-08-11  23:36:19.205,0,0
2017-08-11  23:36:49.239,0,0
2017-08-11  23:37:19.205,0,0
2017-08-11  23:37:49.240,0,0
2017-08-11  23:38:19.205,28,8
2017-08-11  23:38:49.206,0,0
2017-08-11  23:39:19.206,0,0
2017-08-11  23:39:49.206,0,0
2017-08-11  23:40:19.206,0,0
2017-08-11  23:40:49.206,0,0
2017-08-11  23:41:19.206,0,0
2017-08-11  23:41:49.240,0,0
2017-08-11  23:42:19.240,0,0
2017-08-11  23:42:49.207,0,0
2017-08-11  23:43:19.206,39,7
2017-08-11  23:43:49.207,0,0
2017-08-11  23:44:19.207,0,0
2017-08-11  23:44:49.207,0,0
2017-08-11  23:45:19.207,0,0
2017-08-11  23:45:49.207,0,0
2017-08-11  23:46:19.207,0,0
2017-08-11  23:46:49.208,0,0
2017-08-11  23:47:19.208,0,0
2017-08-11  23:47:49.209,0,0
2017-08-11  23:48:19.208,21,5
2017-08-11  23:48:49.209,0,0
2017-08-11  23:49:19.208,0,0
2017-08-11  23:49:49.209,0,0
2017-08-11  23:50:19.209,0,0
2017-08-11  23:50:49.209,0,0
2017-08-11  23:51:19.210,0,0
2017-08-11  23:51:49.210,0,0
2017-08-11  23:52:19.210,0,0
2017-08-11  23:52:49.210,0,0
2017-08-11  23:53:19.211,51,8
2017-08-11  23:53:49.210,0,0
2017-08-11  23:54:19.210,0,0
2017-08-11  23:54:49.246,0,0
2017-08-11  23:55:19.211,0,0
2017-08-11  23:55:49.212,0,0
2017-08-11  23:56:19.212,0,0
2017-08-11  23:56:49.212,0,0
2017-08-11  23:57:19.212,0,0
2017-08-11  23:57:49.213,0,0
2017-08-11  23:58:19.212,28,6
2017-08-11  23:58:49.212,0,0
2017-08-11  23:59:19.213,0,0
2017-08-11  23:59:49.213,0,0
2017-08-12  00:00:19.248,0,0
2017-08-12  00:00:49.250,0,0
2017-08-12  00:01:19.214,0,0
2017-08-12  00:01:49.249,0,0
2017-08-12  00:02:19.214,0,0
2017-08-12  00:02:49.214,0,0
2017-08-12  00:03:19.215,69,16
2017-08-12  00:03:49.214,0,0
2017-08-12  00:04:19.215,0,0
2017-08-12  00:04:49.251,0,0
2017-08-12  00:05:19.215,0,0
2017-08-12  00:05:49.215,0,0
2017-08-12  00:06:19.215,0,0
2017-08-12  00:06:49.216,0,0
2017-08-12  00:07:19.216,0,0
2017-08-12  00:07:49.216,0,0
2017-08-12  00:08:19.216,110,23
2017-08-12  00:08:49.216,0,0
2017-08-12  00:09:19.216,0,0
2017-08-12  00:09:49.216,0,0
2017-08-12  00:10:19.217,0,0
2017-08-12  00:10:49.217,0,0
2017-08-12  00:11:19.218,0,0
2017-08-12  00:11:49.219,0,0
2017-08-12  00:12:19.217,0,0
2017-08-12  00:12:49.218,0,0
2017-08-12  00:13:19.218,21,7
2017-08-12  00:13:49.218,0,0
2017-08-12  00:14:19.218,0,0
2017-08-12  00:14:49.219,0,0
2017-08-12  00:15:19.219,0,0
2017-08-12  00:15:49.219,0,0
2017-08-12  00:16:19.219,0,0
2017-08-12  00:16:49.219,0,0
2017-08-12  00:17:19.219,0,0
2017-08-12  00:17:49.219,0,0
2017-08-12  00:18:19.254,51,11
2017-08-12  00:18:49.254,0,0
2017-08-12  00:19:19.253,0,0
2017-08-12  00:19:49.220,0,0
2017-08-12  00:20:19.221,0,0
2017-08-12  00:20:49.221,0,0
2017-08-12  00:21:19.222,0,0
