Timestamp,UPDATE_CCDSR_ACCEPTATION_MESSAGE,UPDATE_CCDSR_REJECTION_MESSAGE,FP_UPDATE_SUBSCRIPTION_CLIENT_MESSAGES_EVENT,FP_END_OF_UPDATE_MESSAGES_EVENT
2017-08-13  00:02:26.672,15,1,13,3
2017-08-13  00:07:26.674,14,2,12,4
2017-08-13  00:12:26.675,17,0,17,0
2017-08-13  00:17:26.677,13,0,11,2
2017-08-13  00:22:26.679,22,2,17,7
2017-08-13  00:27:26.680,20,0,17,3
2017-08-13  00:32:26.684,12,6,11,7
2017-08-13  00:37:26.683,22,0,18,4
2017-08-13  00:42:26.685,9,2,8,3
2017-08-13  00:47:26.686,12,0,11,1
2017-08-13  00:52:26.690,16,1,14,3
2017-08-13  00:57:26.689,13,0,13,0
2017-08-13  01:02:26.693,15,1,14,2
2017-08-13  01:07:26.691,17,2,13,6
2017-08-13  01:12:26.695,26,0,20,6
2017-08-13  01:17:26.694,15,2,12,5
2017-08-13  01:22:26.696,17,0,15,2
2017-08-13  01:27:26.697,11,1,10,2
2017-08-13  01:32:26.699,11,1,10,2
2017-08-13  01:37:26.700,17,0,15,2
2017-08-13  01:42:26.704,15,1,14,2
2017-08-13  01:47:26.703,12,0,10,2
2017-08-13  01:52:26.704,17,2,12,7
2017-08-13  01:57:26.706,21,0,20,1
2017-08-13  02:02:26.707,21,3,15,9
2017-08-13  02:07:26.708,14,0,11,3
2017-08-13  02:12:26.712,14,1,13,2
2017-08-13  02:17:26.711,8,3,9,2
2017-08-13  02:22:26.712,18,0,16,2
2017-08-13  02:27:26.714,15,1,12,4
2017-08-13  02:32:26.715,14,2,14,2
2017-08-13  02:37:26.716,15,1,12,4
2017-08-13  02:42:26.717,20,0,17,3
2017-08-13  02:47:26.721,20,2,16,6
2017-08-13  02:52:26.720,13,1,12,2
2017-08-13  02:57:26.724,19,2,17,4
2017-08-13  03:02:26.731,7,1,6,2
2017-08-13  03:07:26.732,16,0,14,2
2017-08-13  03:12:26.728,13,1,11,3
2017-08-13  03:17:26.727,16,0,16,0
2017-08-13  03:22:26.729,18,0,14,4
2017-08-13  03:27:26.733,18,1,14,5
2017-08-13  03:32:26.732,23,1,20,4
2017-08-13  03:37:26.736,10,3,8,5
2017-08-13  03:42:26.738,19,0,16,3
2017-08-13  03:47:26.736,10,1,9,2
2017-08-13  03:52:26.738,12,0,11,1
2017-08-13  03:57:26.739,16,1,14,3
2017-08-13  04:02:26.743,15,1,14,2
2017-08-13  04:07:26.742,16,0,14,2
2017-08-13  04:12:26.744,19,1,14,6
2017-08-13  04:17:26.747,23,0,18,5
2017-08-13  04:22:26.749,17,2,13,6
2017-08-13  04:27:26.750,15,1,13,3
2017-08-13  04:32:26.749,12,2,12,2
2017-08-13  04:37:26.751,11,0,10,1
2017-08-13  04:42:26.752,15,0,13,2
2017-08-13  04:47:26.754,17,1,15,3
2017-08-13  04:52:26.758,13,0,11,2
2017-08-13  04:57:26.757,17,1,12,6
2017-08-13  05:02:26.758,20,1,19,2
2017-08-13  05:07:26.762,20,1,15,6
2017-08-13  05:12:26.761,11,2,10,3
2017-08-13  05:17:26.763,17,4,17,4
2017-08-13  05:22:26.764,11,0,9,2
2017-08-13  05:27:26.766,16,1,14,3
2017-08-13  05:32:26.767,12,2,11,3
2017-08-13  05:37:26.768,16,0,14,2
2017-08-13  05:42:26.770,17,0,14,3
2017-08-13  05:47:26.771,17,4,16,5
2017-08-13  05:52:26.773,21,1,17,5
2017-08-13  05:57:26.774,11,2,10,3
2017-08-13  06:02:26.776,20,3,18,5
2017-08-13  06:07:26.780,10,0,8,2
2017-08-13  06:12:26.781,12,0,12,0
