Timestamp,IFPL  Messages
2017-08-13  02:58:19.845,346
2017-08-13  03:03:19.848,361
2017-08-13  03:08:19.850,367
2017-08-13  03:13:19.852,378
2017-08-13  03:18:19.889,387
2017-08-13  03:23:19.856,397
2017-08-13  03:28:19.858,407
2017-08-13  03:33:19.861,418
2017-08-13  03:38:19.863,425
2017-08-13  03:43:19.864,434
2017-08-13  03:48:19.903,448
2017-08-13  03:53:19.903,454
2017-08-13  03:58:19.904,464
2017-08-13  04:03:19.873,474
2017-08-13  04:08:19.875,485
2017-08-13  04:13:19.877,492
2017-08-13  04:18:19.880,503
2017-08-13  04:23:19.882,514
2017-08-13  04:28:19.884,524
2017-08-13  04:33:19.886,537
2017-08-13  04:38:19.889,544
2017-08-13  04:43:19.891,553
2017-08-13  04:48:19.925,564
2017-08-13  04:53:19.896,573
2017-08-13  04:58:19.897,582
2017-08-13  05:03:19.900,591
2017-08-13  05:08:19.901,602
2017-08-13  05:13:19.903,612
2017-08-13  05:18:19.904,621
2017-08-13  05:23:19.941,633
2017-08-13  05:28:19.907,639
2017-08-13  05:33:19.942,654
2017-08-13  05:38:19.911,660
2017-08-13  05:43:19.912,669
2017-08-13  05:48:19.914,680
2017-08-13  05:53:19.917,692
2017-08-13  05:58:19.919,697
2017-08-13  06:03:19.920,710
2017-08-13  06:08:19.923,723
2017-08-13  06:13:19.925,729
2017-08-13  06:18:19.927,740
2017-08-13  06:23:19.929,749
2017-08-13  06:28:19.964,758
2017-08-13  06:33:19.932,768
2017-08-13  06:38:19.968,777
2017-08-13  06:43:19.937,787
2017-08-13  06:48:19.939,796
2017-08-13  06:53:19.974,811
2017-08-13  06:58:19.975,816
2017-08-13  07:03:19.945,826
2017-08-13  07:08:19.981,837
2017-08-13  07:13:19.950,847
2017-08-13  07:18:19.986,854
2017-08-13  07:23:19.986,864
2017-08-13  07:28:19.956,875
2017-08-13  07:33:19.992,885
2017-08-13  07:38:19.996,897
2017-08-13  07:43:19.961,907
2017-08-13  07:48:19.963,914
2017-08-13  07:53:19.965,925
2017-08-13  07:58:20.003,934
2017-08-13  08:03:20.002,943
2017-08-13  08:08:19.971,954
2017-08-13  08:13:19.974,965
2017-08-13  08:18:19.976,974
2017-08-13  08:23:19.977,982
2017-08-13  08:28:19.980,995
2017-08-13  08:33:19.982,1001
2017-08-13  08:38:19.984,1015
2017-08-13  08:43:19.986,1022
2017-08-13  08:48:19.988,1031
2017-08-13  08:53:19.989,1040
2017-08-13  08:58:19.992,1051
2017-08-13  09:03:19.994,1060
2017-08-13  09:08:19.996,1069
2017-08-13  09:13:19.998,1083
2017-08-13  09:18:19.999,1090
2017-08-13  09:23:20.001,1099
2017-08-13  09:28:20.004,1109
2017-08-13  09:33:20.005,1120
2017-08-13  09:38:20.007,1128
2017-08-13  09:43:20.009,1138
2017-08-13  09:48:20.012,1149
2017-08-13  09:53:20.013,1159
2017-08-13  09:58:20.049,1170
2017-08-13  10:03:20.019,1178
2017-08-13  10:08:20.019,1185
2017-08-13  10:13:20.021,1198
2017-08-13  10:18:20.023,1207
2017-08-13  10:23:20.025,1215
2017-08-13  10:28:20.061,1223
2017-08-13  10:33:20.029,1237
2017-08-13  10:38:20.030,1245
2017-08-13  10:43:20.032,1255
2017-08-13  10:48:20.034,1268
2017-08-13  10:53:20.036,1272
2017-08-13  10:58:20.038,1284
2017-08-13  11:03:20.039,1293
2017-08-13  11:08:20.041,1303
2017-08-13  11:13:20.075,1314
2017-08-13  11:18:20.044,1324
2017-08-13  11:23:20.046,1333
2017-08-13  11:28:20.048,1341
2017-08-13  11:33:20.049,1357
2017-08-13  11:38:20.086,1361
2017-08-13  11:43:20.053,1373
2017-08-13  11:48:20.054,1382
2017-08-13  11:53:20.056,1392
2017-08-13  11:58:20.058,1398
2017-08-13  12:03:20.059,1414
2017-08-13  12:08:20.061,1420
2017-08-13  12:13:20.063,1430
2017-08-13  12:18:20.064,1443
2017-08-13  12:23:20.067,1449
2017-08-13  12:28:20.068,1460
2017-08-13  12:33:20.070,1470
2017-08-13  12:38:20.107,1476
2017-08-13  12:43:20.073,1488
2017-08-13  12:48:20.075,1498
2017-08-13  12:53:20.077,1509
2017-08-13  12:58:20.079,1519
2017-08-13  13:03:20.081,1528
2017-08-13  13:08:20.117,1538
2017-08-13  13:13:20.085,1545
2017-08-13  13:18:20.087,1557
2017-08-13  13:23:20.123,1565
2017-08-13  13:28:20.127,1575
2017-08-13  13:33:20.093,1583
2017-08-13  13:38:20.131,1594
2017-08-13  13:43:20.098,1604
2017-08-13  13:48:20.099,1615
2017-08-13  13:53:20.101,1625
2017-08-13  13:58:20.103,1630
2017-08-13  14:03:20.139,1643
2017-08-13  14:08:20.107,1651
2017-08-13  14:13:20.109,1660
2017-08-13  14:18:20.112,1670
2017-08-13  14:23:20.114,1682
2017-08-13  14:28:20.155,1689
2017-08-13  14:33:20.156,1699
2017-08-13  14:38:20.124,1713
2017-08-13  14:43:20.158,1719
2017-08-13  14:48:20.128,1729
2017-08-13  14:53:20.130,1737
2017-08-13  14:58:20.132,1747
2017-08-13  15:03:20.133,1755
2017-08-13  15:08:20.135,1767
2017-08-13  15:13:20.170,1776
2017-08-13  15:18:20.139,1786
2017-08-13  15:23:20.140,1799
2017-08-13  15:28:20.177,1805
2017-08-13  15:33:20.145,1815
2017-08-13  15:38:20.146,1825
2017-08-13  15:43:20.148,1836
2017-08-13  15:48:20.150,1843
2017-08-13  15:53:20.184,1852
2017-08-13  15:58:20.188,1864
2017-08-13  16:03:20.155,1874
